"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu10",3970,1,0,0,0,0,0
"stu10",3978,0,0,0,0,0,0
"stu10",3980,1,0,0,0,0,0
"stu10",3982,1,0,0,0,0,0
"stu10",3987,1,0,0,0,0,0
"stu10",3990,1,0,0,0,0,0
"stu10",3992,1,0,0,0,0,0
"stu10",3997,1,0,0,0,0,0
"stu10",4006,1,0,0,0,1,0
"stu10",4011,1,0,0,0,1,0
"stu10",4017,0,0,0,0,0,0
"stu10",4018,1,0,0,0,0,0
"stu10",4019,1,0,0,0,0,0
"stu10",4021,1,0,0,0,0,0
"stu10",4026,1,0,0,0,0,0
"stu10",4027,0,0,0,0,0,0
"stu10",4028,1,0,0,0,0,0
"stu10",4031,1,0,0,0,0,0
"stu10",4034,1,0,0,0,0,0
"stu10",4036,1,0,0,1,0,0
"stu10",4037,0,0,0,1,0,0
"stu10",4038,1,0,0,1,0,0
"stu10",4040,1,0,0,1,0,0
"stu10",4052,1,0,0,1,0,0
"stu10",4053,0,0,0,1,0,0
"stu10",4054,1,0,0,1,0,0
"stu10",4133,1,0,0,0,0,1
"stu10",4136,0,0,0,0,0,1
"stu10",4137,1,0,0,0,0,1
"stu10",4142,1,0,0,0,0,1
"stu10",4143,1,0,0,0,0,1
"stu10",4167,0,0,0,0,0,1
"stu10",4175,1,0,0,0,0,1
"stu10",4176,1,0,0,0,0,1
"stu10",4182,1,0,0,0,0,1
"stu10",4195,1,0,0,0,0,1
"stu10",4198,1,0,0,0,0,1
"stu10",4203,1,0,0,0,0,1
"stu10",4219,1,0,0,0,0,1
"stu10",4224,1,0,0,0,0,1
"stu10",4237,1,0,0,0,0,1
"stu10",4238,1,0,0,0,0,1
"stu10",4241,1,0,0,0,0,1
"stu10",4242,1,0,0,0,0,1
"stu10",4244,1,0,0,0,0,1
"stu10",4245,1,0,0,0,0,1
"stu10",4263,1,0,0,0,0,1
"stu10",4264,1,0,0,0,0,1
"stu10",4270,1,0,0,0,0,1
"stu10",4272,1,0,0,0,0,1
"stu10",4276,1,0,0,0,0,1
"stu10",4278,1,0,0,0,0,1
"stu10",4288,1,0,0,0,0,1
"stu10",4296,1,0,0,0,0,1
"stu10",4300,1,0,0,0,0,1
"stu10",4301,1,0,0,0,0,1
"stu10",4303,1,0,0,0,0,1
"stu10",4304,1,0,0,0,0,1
"stu10",4305,1,0,0,0,0,1
